problem_id,year,code,question_index,question_label,statement,solution_path,result_path,report_path,artifact_path,attachment_count
2010-A,2010,A,1,问题 1,为了掌握罐体变位后对罐容表的影响，利用如图4的小椭圆型储油罐（两端平头的椭圆柱体），分别对罐体无变位和倾斜角为α=4.10的纵向变位两种情况做了实验，实验数据如附件1所示。请建立数学模型研究罐体变位后对罐容表的影响，并给出罐体变位后油位高度间隔为1cm的罐容表标定值。,cumcm/question_solutions/2010/A/q01/solution.py,cumcm/question_results/2010/A/q01/result.json,cumcm/question_reports/2010/A/q01/report.md,cumcm/question_artifacts/2010/A/q01/experiment_table.csv,6
2010-A,2010,A,2,问题 2,对于图1所示的实际储油罐，试建立罐体变位后标定罐容表的数学模型，即罐内储油量与油位高度及变位参数（纵向倾斜角度α和横向偏转角度β ）之间的一般关系。请利用罐体变位后在进/出油过程中的实际检测数据（附件2），根据你们所建立的数学模型确定变位参数，并给出罐体变位后油位高度间隔为10cm的罐容表标定值。进一步利用附件2中的实际检测数据来分析检验你们模型的正确性与方法的可靠性。 附件1：小椭圆储油罐的实验数据 附件2：实际储油罐的检测数据 PAGE PAGE 1,cumcm/question_solutions/2010/A/q02/solution.py,cumcm/question_results/2010/A/q02/result.json,cumcm/question_reports/2010/A/q02/report.md,cumcm/question_artifacts/2010/A/q02/experiment_table.csv,6
2010-B,2010,B,1,问题 1,2010年上海世博会是首次在中国举办的世界博览会。从1851年伦敦的“万国工业博览会”开始，世博会正日益成为各国人民交流历史文化、展示科技成果、体现合作精神、展望未来发展等的重要舞台。请你们选择感兴趣的某个侧面，建立数学模型，利用互联网数据，定量评估2010年上海世博会的影响力,cumcm/question_solutions/2010/B/q01/solution.py,cumcm/question_results/2010/B/q01/result.json,cumcm/question_reports/2010/B/q01/report.md,cumcm/question_artifacts/2010/B/q01/experiment_table.csv,2
2010-C,2010,C,1,问题 1,针对两炼油厂到铁路线距离和两炼油厂间距离的各种不同情形，提出你的设计方案。在方案设计时，若有共用管线，应考虑共用管线费用与非共用管线费用相同或不同的情形。,cumcm/question_solutions/2010/C/q01/solution.py,cumcm/question_results/2010/C/q01/result.json,cumcm/question_reports/2010/C/q01/report.md,cumcm/question_artifacts/2010/C/q01/experiment_table.csv,2
2010-C,2010,C,2,问题 2,设计院目前需对一更为复杂的情形进行具体的设计。两炼油厂的具体位置由附图所示，其中A厂位于郊区（图中的I区域），B厂位于城区（图中的II区域），两个区域的分界线用图中的虚线表示。图中各字母表示的距离（单位：千米）分别为a = 5，b = 8，c = 15，l = 20。 若所有管线的铺设费用均为每千米7.2万元。 铺设在城区的管线还需增加拆迁和工程补偿等附加费用，为对此项附加费用进行估计，聘请三家工程咨询公司（其中公司一具有甲级资质，公司二和公司三具有乙级资质）进行了估算。估算结果如下表所示： 工程咨询公司 公司一 公司二 公司三 附加费用（万元/千米） 21 24 20 请为设计院给出管线布置方案及相应的费用。,cumcm/question_solutions/2010/C/q02/solution.py,cumcm/question_results/2010/C/q02/result.json,cumcm/question_reports/2010/C/q02/report.md,cumcm/question_artifacts/2010/C/q02/experiment_table.csv,2
2010-C,2010,C,3,问题 3,在该实际问题中，为进一步节省费用，可以根据炼油厂的生产能力，选用相适应的油管。这时的管线铺设费用将分别降为输送A厂成品油的每千米5.6万元，输送B厂成品油的每千米6.0万元，共用管线费用为每千米7.2万元，拆迁等附加费用同上。请给出管线最佳布置方案及相应的费用。,cumcm/question_solutions/2010/C/q03/solution.py,cumcm/question_results/2010/C/q03/result.json,cumcm/question_reports/2010/C/q03/report.md,cumcm/question_artifacts/2010/C/q03/experiment_table.csv,2
2010-D,2010,D,1,问题 1,附件是四种比较典型的学生宿舍的设计方案。请你们用数学建模的方法就它们的经济性、舒适性和安全性作出综合量化评价和比较,cumcm/question_solutions/2010/D/q01/solution.py,cumcm/question_results/2010/D/q01/result.json,cumcm/question_reports/2010/D/q01/report.md,cumcm/question_artifacts/2010/D/q01/experiment_table.csv,10
2011-A,2011,A,1,问题 1,给出8种主要重金属元素在该城区的空间分布，并分析该城区内不同区域重金属的污染程度。,cumcm/question_solutions/2011/A/q01/solution.py,cumcm/question_results/2011/A/q01/result.json,cumcm/question_reports/2011/A/q01/report.md,cumcm/question_artifacts/2011/A/q01/experiment_table.csv,2
2011-A,2011,A,2,问题 2,通过数据分析，说明重金属污染的主要原因。,cumcm/question_solutions/2011/A/q02/solution.py,cumcm/question_results/2011/A/q02/result.json,cumcm/question_reports/2011/A/q02/report.md,cumcm/question_artifacts/2011/A/q02/experiment_table.csv,2
2011-A,2011,A,3,问题 3,分析重金属污染物的传播特征，由此建立模型，确定污染源的位置。,cumcm/question_solutions/2011/A/q03/solution.py,cumcm/question_results/2011/A/q03/result.json,cumcm/question_reports/2011/A/q03/report.md,cumcm/question_artifacts/2011/A/q03/experiment_table.csv,2
2011-A,2011,A,4,问题 4,分析你所建立模型的优缺点，为更好地研究城市地质环境的演变模式，还应收集什么信息？有了这些信息，如何建立模型解决问题？,cumcm/question_solutions/2011/A/q04/solution.py,cumcm/question_results/2011/A/q04/result.json,cumcm/question_reports/2011/A/q04/report.md,cumcm/question_artifacts/2011/A/q04/experiment_table.csv,2
2011-B,2011,B,1,问题 1,附件1中的附图1给出了该市中心城区A的交通网络和现有的20个交巡警服务平台的设置情况示意图，相关的数据信息见附件2。请为各交巡警服务平台分配管辖范围，使其在所管辖的范围内出现突发事件时，尽量能在3分钟内有交巡警（警车的时速为60km/h）到达事发地。 对于重大突发事件，需要调度全区20个交巡警服务平台的警力资源，对进出该区的13条交通要道实现快速全封锁。实际中一个平台的警力最多封锁一个路口，请给出该区交巡警服务平台警力合理的调度方案。 根据现有交巡警服务平台的工作量不均衡和有些地方出警时间过长的实际情况，拟在该区内再增加2至5个平台，请确定需要增加平台的具体个数和位置。,cumcm/question_solutions/2011/B/q01/solution.py,cumcm/question_results/2011/B/q01/result.json,cumcm/question_reports/2011/B/q01/report.md,cumcm/question_artifacts/2011/B/q01/experiment_table.csv,3
2011-B,2011,B,2,问题 2,针对全市（主城六区A，B，C，D，E，F）的具体情况，按照设置交巡警服务平台的原则和任务，分析研究该市现有交巡警服务平台设置方案（参见附件）的合理性。如果有明显不合理，请给出解决方案。 如果该市地点P（第32个节点）处发生了重大刑事案件，在案发3分钟后接到报警，犯罪嫌疑人已驾车逃跑。为了快速搜捕嫌疑犯，请给出调度全市交巡警服务平台警力资源的最佳围堵方案。 附件1：A区和全市六区交通网络与平台设置的示意图。 附件2：全市六区交通网络与平台设置的相关数据表（共5个工作表）。,cumcm/question_solutions/2011/B/q02/solution.py,cumcm/question_results/2011/B/q02/result.json,cumcm/question_reports/2011/B/q02/report.md,cumcm/question_artifacts/2011/B/q02/experiment_table.csv,3
2011-C,2011,C,1,问题一,对未来中国经济发展和工资增长的形势做出你认为是简化、合理的假设，并参考附件1，预测从2011年至2035年的山东省职工的年平均工资。,cumcm/question_solutions/2011/C/q01/solution.py,cumcm/question_results/2011/C/q01/result.json,cumcm/question_reports/2011/C/q01/report.md,cumcm/question_artifacts/2011/C/q01/experiment_table.csv,4
2011-C,2011,C,2,问题二,根据附件2计算2009年该企业各年龄段职工工资与该企业平均工资之比。如果把这些比值看作职工缴费指数的参考值，考虑该企业职工自2000年起分别从30岁、40岁开始缴养老保险，一直缴费到退休（55岁，60岁，65岁），计算各种情况下的养老金替代率。,cumcm/question_solutions/2011/C/q02/solution.py,cumcm/question_results/2011/C/q02/result.json,cumcm/question_reports/2011/C/q02/report.md,cumcm/question_artifacts/2011/C/q02/experiment_table.csv,4
2011-C,2011,C,3,问题三,假设该企业某职工自 2000年起从30岁开始缴养老保险，一直缴费到退休（55岁，60岁，65岁），并从退休后一直领取养老金，至75岁死亡。计算养老保险基金的缺口情况，并计算该职工领取养老金到多少岁时，其缴存的养老保险基金与其领取的养老金之间达到收支平衡。,cumcm/question_solutions/2011/C/q03/solution.py,cumcm/question_results/2011/C/q03/result.json,cumcm/question_reports/2011/C/q03/report.md,cumcm/question_artifacts/2011/C/q03/experiment_table.csv,4
2011-C,2011,C,4,问题四,如果既要达到目标替代率，又要维持养老保险基金收支平衡，你认为可以采取什么措施。请给出你的理由。,cumcm/question_solutions/2011/C/q04/solution.py,cumcm/question_results/2011/C/q04/result.json,cumcm/question_reports/2011/C/q04/report.md,cumcm/question_artifacts/2011/C/q04/experiment_table.csv,4
2011-D,2011,D,1,问题 1,对于给定的一批原料，装出的成品捆数越多越好；,cumcm/question_solutions/2011/D/q01/solution.py,cumcm/question_results/2011/D/q01/result.json,cumcm/question_reports/2011/D/q01/report.md,cumcm/question_artifacts/2011/D/q01/experiment_table.csv,1
2011-D,2011,D,2,问题 2,对于成品捆数相同的方案，最短长度最长的成品越多，方案越好；,cumcm/question_solutions/2011/D/q02/solution.py,cumcm/question_results/2011/D/q02/result.json,cumcm/question_reports/2011/D/q02/report.md,cumcm/question_artifacts/2011/D/q02/experiment_table.csv,1
2011-D,2011,D,3,问题 3,为提高原料使用率，总长度允许有± 0.5米的误差，总根数允许比标准少1根；,cumcm/question_solutions/2011/D/q03/solution.py,cumcm/question_results/2011/D/q03/result.json,cumcm/question_reports/2011/D/q03/report.md,cumcm/question_artifacts/2011/D/q03/experiment_table.csv,1
2011-D,2011,D,4,问题 4,某种规格对应原料如果出现剩余，可以降级使用。如长度为14米的原料可以和长度介于7-13.5米的进行捆扎，成品属于7-13.5米的规格；,cumcm/question_solutions/2011/D/q04/solution.py,cumcm/question_results/2011/D/q04/result.json,cumcm/question_reports/2011/D/q04/report.md,cumcm/question_artifacts/2011/D/q04/experiment_table.csv,1
2011-D,2011,D,5,问题 5,"为了食品保鲜,要求在30分钟内产生方案。 请建立上述问题的数学模型，给出求解方法，并对表1、表2给出的实际数据进行求解，给出搭配方案。",cumcm/question_solutions/2011/D/q05/solution.py,cumcm/question_results/2011/D/q05/result.json,cumcm/question_reports/2011/D/q05/report.md,cumcm/question_artifacts/2011/D/q05/experiment_table.csv,1
2014-A,2014,A,1,问题 1,确定着陆准备轨道近月点和远月点的位置，以及嫦娥三号相应速度的大小与方向。,cumcm/question_solutions/2014/A/q01/solution.py,cumcm/question_results/2014/A/q01/result.json,cumcm/question_reports/2014/A/q01/report.md,cumcm/question_artifacts/2014/A/q01/experiment_table.csv,10
2014-A,2014,A,2,问题 2,确定嫦娥三号的着陆轨道和在6个阶段的最优控制策略。,cumcm/question_solutions/2014/A/q02/solution.py,cumcm/question_results/2014/A/q02/result.json,cumcm/question_reports/2014/A/q02/report.md,cumcm/question_artifacts/2014/A/q02/experiment_table.csv,10
2014-A,2014,A,3,问题 3,对于你们设计的着陆轨道和控制策略做相应的误差分析和敏感性分析。 附件1： 问题的背景与参考资料； 附件2： 嫦娥三号着陆过程的六个阶段及其状态要求； 附件3：距月面2400m处的数字高程图； 附件4：距月面100m处的数字高程图。,cumcm/question_solutions/2014/A/q03/solution.py,cumcm/question_results/2014/A/q03/result.json,cumcm/question_reports/2014/A/q03/report.md,cumcm/question_artifacts/2014/A/q03/experiment_table.csv,10
2014-B,2014,B,1,问题 1,给定长方形平板尺寸为120 cm × 50 cm × 3 cm，每根木条宽2.5 cm，连接桌腿木条的钢筋固定在桌腿最外侧木条的中心位置，折叠后桌子的高度为53 cm。试建立模型描述此折叠桌的动态变化过程，在此基础上给出此折叠桌的设计加工参数（例如，桌腿木条开槽的长度等）和桌脚边缘线（图4中红色曲线）的数学描述。,cumcm/question_solutions/2014/B/q01/solution.py,cumcm/question_results/2014/B/q01/result.json,cumcm/question_reports/2014/B/q01/report.md,cumcm/question_artifacts/2014/B/q01/experiment_table.csv,4
2014-B,2014,B,2,问题 2,折叠桌的设计应做到产品稳固性好、加工方便、用材最少。对于任意给定的折叠桌高度和圆形桌面直径的设计要求，讨论长方形平板材料和折叠桌的最优设计加工参数，例如，平板尺寸、钢筋位置、开槽长度等。对于桌高70 cm，桌面直径80 cm的情形，确定最优设计加工参数。,cumcm/question_solutions/2014/B/q02/solution.py,cumcm/question_results/2014/B/q02/result.json,cumcm/question_reports/2014/B/q02/report.md,cumcm/question_artifacts/2014/B/q02/experiment_table.csv,4
2014-B,2014,B,3,问题 3,公司计划开发一种折叠桌设计软件，根据客户任意设定的折叠桌高度、桌面边缘线的形状大小和桌脚边缘线的大致形状，给出所需平板材料的形状尺寸和切实可行的最优设计加工参数，使得生产的折叠桌尽可能接近客户所期望的形状。你们团队的任务是帮助给出这一软件设计的数学模型，并根据所建立的模型给出几个你们自己设计的创意平板折叠桌。要求给出相应的设计加工参数，画出至少8张动态变化过程的示意图。,cumcm/question_solutions/2014/B/q03/solution.py,cumcm/question_results/2014/B/q03/result.json,cumcm/question_reports/2014/B/q03/report.md,cumcm/question_artifacts/2014/B/q03/experiment_table.csv,4
2014-C,2014,C,1,问题 1,已知从母猪配种到所产的猪仔长成肉猪出栏需要约9个月时间。假设该养猪场估计9个月后三年内生猪价格变化的预测曲线如图2所示，请根据此价格预测确定该养猪场的最佳经营策略，计算这三年内的平均年利润，并给出在此策略下的母猪及肉猪存栏数曲线,cumcm/question_solutions/2014/C/q01/solution.py,cumcm/question_results/2014/C/q01/result.json,cumcm/question_reports/2014/C/q01/report.md,cumcm/question_artifacts/2014/C/q01/experiment_table.csv,2
2014-D,2014,D,1,问题 1,药房内的盒装药品种类繁多，药盒尺寸规格差异较大，附件1中给出了一些药盒的规格。请利用附件1的数据，给出竖向隔板间距类型最少的储药柜设计方案，包括类型的数量和每种类型所对应的药盒规格。,cumcm/question_solutions/2014/D/q01/solution.py,cumcm/question_results/2014/D/q01/result.json,cumcm/question_reports/2014/D/q01/report.md,cumcm/question_artifacts/2014/D/q01/experiment_table.csv,6
2014-D,2014,D,2,问题 2,药盒与两侧竖向隔板之间的间隙超出2mm的部分可视为宽度冗余。增加竖向隔板的间距类型数量可以有效地减少宽度冗余，但会增加储药柜的加工成本，同时降低了储药槽的适应能力。设计时希望总宽度冗余尽可能小，同时也希望间距的类型数量尽可能少。仍利用附件1的数据，给出合理的竖向隔板间距类型的数量以及每种类型对应的药品编号。,cumcm/question_solutions/2014/D/q02/solution.py,cumcm/question_results/2014/D/q02/result.json,cumcm/question_reports/2014/D/q02/report.md,cumcm/question_artifacts/2014/D/q02/experiment_table.csv,6
2014-D,2014,D,3,问题 3,考虑补药的便利性，储药柜的宽度不超过2.5m、高度不超过2m，传送装置占用的高度为0.5m，即储药柜的最大允许有效高度为1.5m。药盒与两层横向隔板之间的间隙超出2mm的部分可视为高度冗余，平面冗余＝高度冗余×宽度冗余。在问题2计算结果的基础上，确定储药柜横向隔板间距的类型数量，使得储药柜的总平面冗余量尽可能地小，且横向隔板间距的类型数量也尽可能地少。,cumcm/question_solutions/2014/D/q03/solution.py,cumcm/question_results/2014/D/q03/result.json,cumcm/question_reports/2014/D/q03/report.md,cumcm/question_artifacts/2014/D/q03/experiment_table.csv,6
2014-D,2014,D,4,问题 4,附件2给出了每一种药品编号对应的最大日需求量。在储药槽的长度为1.5m、每天仅集中补药一次的情况下，请计算每一种药品需要的储药槽个数。为保证药房储药满足需求，根据问题3中单个储药柜的规格，计算最少需要多少个储药柜。,cumcm/question_solutions/2014/D/q04/solution.py,cumcm/question_results/2014/D/q04/result.json,cumcm/question_reports/2014/D/q04/report.md,cumcm/question_artifacts/2014/D/q04/experiment_table.csv,6
2015-A,2015,A,1,问题 1,"建立影子长度变化的数学模型，分析影子长度关于各个参数的变化规律，并应用你们建立的模型画出2015年10月22日北京时间9:00-15:00之间天安门广场（北纬39度54分26秒,东经116度23分29秒）3米高的直杆的太阳影子长度的变化曲线。",cumcm/question_solutions/2015/A/q01/solution.py,cumcm/question_results/2015/A/q01/result.json,cumcm/question_reports/2015/A/q01/report.md,cumcm/question_artifacts/2015/A/q01/experiment_table.csv,6
2015-A,2015,A,2,问题 2,根据某固定直杆在水平地面上的太阳影子顶点坐标数据，建立数学模型确定直杆所处的地点。将你们的模型应用于附件1的影子顶点坐标数据，给出若干个可能的地点。,cumcm/question_solutions/2015/A/q02/solution.py,cumcm/question_results/2015/A/q02/result.json,cumcm/question_reports/2015/A/q02/report.md,cumcm/question_artifacts/2015/A/q02/experiment_table.csv,6
2015-A,2015,A,3,问题 3,根据某固定直杆在水平地面上的太阳影子顶点坐标数据，建立数学模型确定直杆所处的地点和日期。将你们的模型分别应用于附件2和附件3的影子顶点坐标数据，给出若干个可能的地点与日期。,cumcm/question_solutions/2015/A/q03/solution.py,cumcm/question_results/2015/A/q03/result.json,cumcm/question_reports/2015/A/q03/report.md,cumcm/question_artifacts/2015/A/q03/experiment_table.csv,6
2015-A,2015,A,4,问题 4,附件4为一根直杆在太阳下的影子变化的视频，并且已通过某种方式估计出直杆的高度为2米。请建立确定视频拍摄地点的数学模型，并应用你们的模型给出若干个可能的拍摄地点。 如果拍摄日期未知，你能否根据视频确定出拍摄地点与日期？,cumcm/question_solutions/2015/A/q04/solution.py,cumcm/question_results/2015/A/q04/result.json,cumcm/question_reports/2015/A/q04/report.md,cumcm/question_artifacts/2015/A/q04/experiment_table.csv,6
2015-B,2015,B,1,问题 1,试建立合理的指标，并分析不同时空出租车资源的“供求匹配”程度。,cumcm/question_solutions/2015/B/q01/solution.py,cumcm/question_results/2015/B/q01/result.json,cumcm/question_reports/2015/B/q01/report.md,cumcm/question_artifacts/2015/B/q01/experiment_table.csv,2
2015-B,2015,B,2,问题 2,分析各公司的出租车补贴方案是否对“缓解打车难”有帮助？,cumcm/question_solutions/2015/B/q02/solution.py,cumcm/question_results/2015/B/q02/result.json,cumcm/question_reports/2015/B/q02/report.md,cumcm/question_artifacts/2015/B/q02/experiment_table.csv,2
2015-B,2015,B,3,问题 3,如果要创建一个新的打车软件服务平台，你们将设计什么样的补贴方案，并论证其合理性。,cumcm/question_solutions/2015/B/q03/solution.py,cumcm/question_results/2015/B/q03/result.json,cumcm/question_reports/2015/B/q03/report.md,cumcm/question_artifacts/2015/B/q03/experiment_table.csv,2
2015-C,2015,C,1,问题 1,根据所建立的模型，分析2016年北京地区“月上柳梢头，人约黄昏后”发生的日期与时间。根据模型判断2016年在哈尔滨、上海、广州、昆明、成都、乌鲁木齐是否能发生这一情景？如果能，请给出相应的日期与时间；如果不能，请给出原因,cumcm/question_solutions/2015/C/q01/solution.py,cumcm/question_results/2015/C/q01/result.json,cumcm/question_reports/2015/C/q01/report.md,cumcm/question_artifacts/2015/C/q01/experiment_table.csv,2
2015-D,2015,D,1,问题 1,为了信息公开及民主决策，需要将这个众筹筑屋项目原方案（称作方案Ⅰ）的成本与收益、容积率和增值税等信息进行公布。请你们建立模型对方案I进行全面的核算，帮助其公布相关信息,cumcm/question_solutions/2015/D/q01/solution.py,cumcm/question_results/2015/D/q01/result.json,cumcm/question_reports/2015/D/q01/report.md,cumcm/question_artifacts/2015/D/q01/experiment_table.csv,8
2015-D,2015,D,2,问题 2,通过对参筹者进行抽样调查，得到了参筹者对11种房型购买意愿的比例（见附件1）。为了尽量满足参筹者的购买意愿，请你重新设计建设规划方案（称为方案Ⅱ），并对方案II进行核算,cumcm/question_solutions/2015/D/q02/solution.py,cumcm/question_results/2015/D/q02/result.json,cumcm/question_reports/2015/D/q02/report.md,cumcm/question_artifacts/2015/D/q02/experiment_table.csv,8
2015-D,2015,D,3,问题 3,一般而言，投资回报率达到25%以上的众筹项目才会被成功执行。你们所给出的众筹筑屋方案Ⅱ能否被成功执行？如果能，请说明理由。如果不能，应怎样调整才能使此众筹筑屋项目能被成功执行？,cumcm/question_solutions/2015/D/q03/solution.py,cumcm/question_results/2015/D/q03/result.json,cumcm/question_reports/2015/D/q03/report.md,cumcm/question_artifacts/2015/D/q03/experiment_table.csv,8
2016-A,2016,A,1,问题1,某型传输节点选用II型电焊锚链22.05m，选用的重物球的质量为1200kg。现将该型传输节点布放在水深18m、海床平坦、海水密度为1.025×103kg/m3的海域。若海水静止，分别计算海面风速为12m/s和24m/s时钢桶和各节钢管的倾斜角度、锚链形状、浮标的吃水深度和游动区域。,cumcm/question_solutions/2016/A/q01/solution.py,cumcm/question_results/2016/A/q01/result.json,cumcm/question_reports/2016/A/q01/report.md,cumcm/question_artifacts/2016/A/q01/experiment_table.csv,8
2016-A,2016,A,2,问题2,在问题1的假设下，计算海面风速为36m/s时钢桶和各节钢管的倾斜角度、锚链形状和浮标的游动区域。请调节重物球的质量，使得钢桶的倾斜角度不超过5度，锚链在锚点与海床的夹角不超过16度。,cumcm/question_solutions/2016/A/q02/solution.py,cumcm/question_results/2016/A/q02/result.json,cumcm/question_reports/2016/A/q02/report.md,cumcm/question_artifacts/2016/A/q02/experiment_table.csv,8
2016-A,2016,A,3,问题3,由于潮汐等因素的影响，布放海域的实测水深介于16m~20m之间。布放点的海水速度最大可达到1.5m/s、风速最大可达到36m/s。请给出考虑风力、水流力和水深情况下的系泊系统设计，分析不同情况下钢桶、钢管的倾斜角度、锚链形状、浮标的吃水深度和游动区域。 说明 近海风荷载可通过近似公式F=0.625×Sv2(N) QUOTE \* MERGEFORMAT 计算，其中S为物体在风向法平面的投影面积(m2)，v为风速(m/s）。近海水流力可通过近似公式F=374×Sv2(N)计算，其中S为物体在水流速度法平面的投影面积(m2)，v为水流速度(m/s）。 附表 锚链型号和参数表 型号 长度(mm) 单位长度的质量(kg/m) I 78 3.2 II 105 7 III 120 12.5 IV 150 19.5 V 180 28.12 表注：长度是指每节链环的长度。,cumcm/question_solutions/2016/A/q03/solution.py,cumcm/question_results/2016/A/q03/result.json,cumcm/question_reports/2016/A/q03/report.md,cumcm/question_artifacts/2016/A/q03/experiment_table.csv,8
2016-B,2016,B,1,问题 1,请选取合适的评价指标体系，用以评价小区开放对周边道路通行的影响。,cumcm/question_solutions/2016/B/q01/solution.py,cumcm/question_results/2016/B/q01/result.json,cumcm/question_reports/2016/B/q01/report.md,cumcm/question_artifacts/2016/B/q01/experiment_table.csv,0
2016-B,2016,B,2,问题 2,请建立关于车辆通行的数学模型，用以研究小区开放对周边道路通行的影响。,cumcm/question_solutions/2016/B/q02/solution.py,cumcm/question_results/2016/B/q02/result.json,cumcm/question_reports/2016/B/q02/report.md,cumcm/question_artifacts/2016/B/q02/experiment_table.csv,0
2016-B,2016,B,3,问题 3,小区开放产生的效果，可能会与小区结构及周边道路结构、车流量有关。请选取或构建不同类型的小区，应用你们建立的模型，定量比较各类型小区开放前后对道路通行的影响。,cumcm/question_solutions/2016/B/q03/solution.py,cumcm/question_results/2016/B/q03/result.json,cumcm/question_reports/2016/B/q03/report.md,cumcm/question_artifacts/2016/B/q03/experiment_table.csv,0
2016-B,2016,B,4,问题 4,根据你们的研究结果，从交通通行的角度，向城市规划和交通管理部门提出你们关于小区开放的合理化建议。,cumcm/question_solutions/2016/B/q04/solution.py,cumcm/question_results/2016/B/q04/result.json,cumcm/question_reports/2016/B/q04/report.md,cumcm/question_artifacts/2016/B/q04/experiment_table.csv,0
